year, Superior,Michigan,Huron,Erie,Ontario,All_Lakes
1973,69.8,33,66.7,95.7,62.6,60.6
1974,73.8,39.4,61.4,88.5,24.5,58.7
1975,64.9,28.1,55.1,80.1,14.9,50.2
1976,49.9,29.5,52.5,95.4,15.2,39.9
1977,96,93.1,95,99.8,46.7,89.9
1978,92.5,66.6,95.8,100,57.7,83
1979,97.1,92.3,96.4,100,86.2,94.7
1980,77.2,38.6,70.3,93.4,30.6,62.8
1981,84.7,53.8,93.8,96,47.6,71.3
1982,85.3,60.2,93.3,99.1,50.7,74.8
1983,20.2,23.6,31.8,40.8,12.5,22.1
1984,88.2,43.3,77.6,95.7,40.7,65.2
1985,81.9,41.3,87.4,96,38.2,69.8
1986,90.7,66.8,73.5,95.5,43.7,76.4
1987,14.5,20,43.5,88,8.4,27.3
1988,67.3,32.7,60.1,91.5,21.1,53.6
1989,82.3,30.9,76.3,91.6,15.5,59.2
1990,78.1,32.4,73.8,72.8,29.5,59.7
1991,89.6,21.5,43.8,35.1,11.6,44.3
1992,73.3,32.8,69.9,89.8,17.5,45.5
1993,77.2,32.2,78.3,94.3,29,64.4
1994,96.1,82.7,96.9,96.7,55.7,89
1995,28.8,21.6,41.7,94,18.8,32
1996,100,75,98.2,100,45.1,81.7
1997,89,37.8,65.3,99.6,25.6,58.4
1998,11.1,15.1,28.6,5.4,6.2,14
1999,18.3,23,36,74.8,17.9,26.6
2000,33.5,27.2,41.9,90.7,22.3,34.8
2001,46.7,29.5,45.7,94,17.9,34.4
2002,10.3,12.4,26.1,14.4,4,11.8
2003,95.5,48,96.2,95.7,49.6,80.17
2004,52.2,36.4,64.5,95.4,38.5,51.87
2005,54.5,29.4,58.9,93,37.8,44.16
2006,16.66,16.15,32.17,21.88,14.25,20.41
2007,51.83,37.19,71.39,95.77,23.77,55.24
2008,62.7,33.51,59.51,93.38,13.97,53.7
2009,93.63,52.27,85.11,95.55,25.9,73.86
2010,27.34,23.46,36.95,93.13,13.1,27.46
2011,33.64,29.35,63.79,95.85,31.09,40.1
2012,8.22,16.72,23.06,13.87,1.86,12.86
2013,38.62,24.38,47.75,83.72,15.58,38.35
2014,95.82,93.08,96.1,96.08,60.84,92.3
2015,95.7,72.9,96.4,98.1,82.4,88.8
2016,22.69,26.75,47.98,78.73,23.46,33.81
2017,18.7,18.2,35.35,35.51,5.75,19.41
2018,77.17,51.32,81.39,95.12,24.67,69.02
2019,94.91,55.83,95.7,94.28,39.78,80.87
